obs,time..2,elapsed,date,hhmmss..5,averaging,machine,id,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo..52,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID..78,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID..86,Duration,Fo..88,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..105,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time..156,hhmmss..157,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,week
238,1659634508,6183,8/4/22 12:35,12:35:08,5,albert,e_n_350_68,1659634501,0.00379522,3.795219648,27.19215002,669.0079662,460.8238104,41.72307377,60.57210608,0.234563947,2.755555907,0.224008933,0.140914326,321.500558,25.34140665,24.9891037,3.177612571,54.99650805,1.684846907,3.063552517,1.492765664,-167.3691865,-90.86989007,-6.953215576,56.30826588,45.55701928,3.79380457,27.19215002,753.4415507,704.7800061,3.295102068,64.61874037,3.795219648,14.13295053,18.60187758,-1.69E-06,86.05896211,0,0,1,0,48269,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.939259,1681.146,0.840598529,0.160755161,6,0.5,0: Broadleaf,2,TRUE,1659634501,669.008,726.714,18.60882963,14.14161111,664.9484444,18.40515185,500.0704074,90.44014815,0.100038426,24.37742222,24.9891037,999.9,0,0,9995.071481,0,11.65876667,-57.70605556,681.6934444,737.1381481,4.467222222,726.714,14.14161111,1.682985926,1.278970741,14.74038148,10.55396296,1999.939259,0.979999222,0.020001037,0,798.8266667,5.00056,15869.62963,17294.34444,36.73818519,38.09225926,36.98125926,37.10159259,38.21733333,1955.038519,39.90074074,0,1659634509,0,798.7408846,9.787726507,255.1282053,15868.37308,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-57.28388293,-8.074323345,0.802776895,0,798.3102941,10.36812834,1.049503623,0,4.461825366,0.095774425,0.011768561,1,1,3,3-Jan,2.98072,2.72828,0.123154,0.131315,0.0899797,0.0744729,26324.8,25700.8,30547.1,29827.4,38360.1,36361.8,46722.1,44361.4,1.88818,1.86117,0.116445,0,23.0818,999.9,35.9,32,18.9532,63.3002,24.8638,1,-0.106418,1.15831,20.1928,5.22867,11.968,4.9697,3.28935,9999,9999,9999,316.5,4.97291,1.87747,1.87561,1.8784,1.87514,1.87867,1.87577,1.87696,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.12,0.2035,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,72.2,72.4,1.78589,2.54639,1.39893,2.33887,1.44897,2.4646,37.4098,24.1751,18,490.79,445.349,21.5933,25.6107,30.0001,25.4886,25.5766,35.8053,25.6195,0,21.5974,774.424,14.1015,100.977,102.002,7
239,1659634513,6188,8/4/22 12:35,12:35:13,5,albert,e_n_350_68,1659634505,0.003793754,3.793753651,27.35613796,684.2940731,474.43452,42.95520993,61.9558534,0.234413324,2.755897203,0.223872776,0.140828011,321.4978152,25.34279917,24.98885357,3.177565181,54.98057343,1.684471447,3.063757509,1.493093734,-167.304536,-90.6780126,-6.937704417,56.57756216,45.97488319,3.796787171,27.35613796,770.6545638,721.5116788,3.354883668,64.61874037,3.793753651,14.13353962,18.60071455,-1.12E-06,86.05896211,0,0,1,0,48234,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.924286,1681.133239,0.840598442,0.160754993,6,0.5,0: Broadleaf,2,TRUE,1659634505,684.2941071,742.5731429,18.60476071,14.13403929,680.1965714,18.40116429,500.0735,90.43982857,0.099978554,24.37853929,24.98885357,999.9,0,0,9997.126071,0,11.65044286,-58.27900714,697.2665357,753.2191429,4.470725,742.5731429,14.13403929,1.682612143,1.278281071,14.73693929,10.545875,1999.924286,0.980001964,0.019998204,0,799.4872857,5.00056,15888.78214,17294.24286,36.72289286,38.24525,37.09578571,37.28325,38.35907143,1955.029643,39.89464286,0,1659634514,0,799.54684,8.630384612,236.8923077,15891.584,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-57.81035854,-7.378289895,0.7332552,0,798.9021176,8.952574474,0.907245176,0,4.465489024,0.059343136,0.009935963,1,1,3,3-Jan,2.98078,2.72839,0.125134,0.133293,0.089977,0.074473,26265.1,25642.6,30546.8,29827.8,38360,36362.2,46721.6,44361.7,1.88845,1.86127,0.115581,0,23.0846,999.9,35.9,32,18.9571,63.3102,24.7396,1,-0.106212,1.15476,20.1929,5.23047,11.968,4.96995,3.2895,9999,9999,9999,316.5,4.97291,1.87745,1.87561,1.87845,1.87514,1.87866,1.87577,1.87696,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.16,0.2035,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,72.3,72.5,1.81519,2.55615,1.39893,2.34009,1.44897,2.44751,37.4098,24.1751,18,490.94,445.411,21.599,25.6107,30.0001,25.4886,25.5766,36.3906,25.6195,0,21.6063,787.786,14.1009,100.976,102.003,7
240,1659634518,6193,8/4/22 12:35,12:35:18,5,albert,e_n_350_68,1659634511,0.003795865,3.795864949,27.89033554,701.5222986,487.5102197,44.13906196,63.51566583,0.234479719,2.755748473,0.223932803,0.140866063,321.503069,25.34489035,24.98977778,3.177740284,54.96369688,1.684216061,3.064233588,1.493524224,-167.3976443,-90.42503405,-6.918845232,56.76154548,46.35080949,3.794753486,27.89033554,787.6077891,738.0669515,3.301493742,64.61874037,3.795864949,14.1339773,18.60362606,1.85E-06,86.05896211,0,0,1,0,48181,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.958889,1681.162166,0.840598362,0.160754839,6,0.5,0: Broadleaf,2,TRUE,1659634511,701.5223333,760.3294444,18.60194815,14.13358889,697.3823333,18.3984037,500.0712963,90.43976296,0.100004567,24.38113333,24.98977778,999.9,0,0,9996.253333,0,11.64445556,-58.80714815,714.8193704,771.2297778,4.468354815,760.3294444,14.13358889,1.682355556,1.278239259,14.73458519,10.54538889,1999.958889,0.980005,0.019995067,0,800.1752963,5.00056,15908.88889,17294.55185,36.84448148,38.40018519,37.23359259,37.47659259,38.49733333,1955.068889,39.89,0,1659634519,0,800.17868,6.176384599,212.4538459,15909.648,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-58.47633,-6.172111069,0.597418425,0,799.6473529,8.049656222,0.817679028,0,4.47015,-0.026972308,0.003270139,1,1,3,3-Jan,2.98052,2.72829,0.12707,0.135221,0.0899898,0.0744724,26206.8,25585.4,30546.5,29827.6,38359.4,36362,46721.3,44361.3,1.88848,1.86135,0.115849,0,23.0876,999.9,35.9,32,18.9547,63.4102,25.3165,1,-0.106456,1.14908,20.1927,5.22957,11.968,4.9699,3.2895,9999,9999,9999,316.5,4.97291,1.87744,1.8756,1.8784,1.87513,1.87866,1.87577,1.87696,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.2,0.2036,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,72.4,72.5,1.84814,2.55493,1.39893,2.34009,1.44897,2.3645,37.4098,24.1663,18,490.953,445.457,21.6077,25.6107,30.0001,25.4886,25.5766,37.0624,25.6195,0,21.6145,808.037,14.0956,100.975,102.002,7
241,1659634523,6198,8/4/22 12:35,12:35:23,5,albert,e_n_350_68,1659634515,0.003797752,3.797752105,27.99226064,716.9229296,501.894472,45.44135206,64.90995431,0.234611617,2.755871073,0.224053565,0.140942479,321.5023137,25.34756121,24.98973571,3.177732315,54.95490521,1.684273299,3.064827958,1.493459016,-167.4808678,-89.94170895,-6.881668345,57.19806853,46.70984033,3.795396567,27.99226064,804.8029524,754.8554242,3.36141176,64.61874037,3.797752105,14.13278291,18.60463939,1.20E-07,86.05896211,0,0,1,0,48386,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.954286,1681.158289,0.840598358,0.160754831,6,0.5,0: Broadleaf,2,TRUE,1659634515,716.9229643,776.23125,18.60260357,14.13351071,712.7456071,18.39904286,500.0736071,90.43962857,0.100025879,24.38437143,24.98973571,999.9,0,0,9996.993571,0,11.65019643,-59.30826071,730.5125357,787.3595714,4.469090714,776.23125,14.13351071,1.682412143,1.278229286,14.73510714,10.54527857,1999.954286,0.980005107,0.019994939,0,800.6207143,5.00056,15924.42857,17294.50714,37.00407143,38.54217857,37.35910714,37.64032143,38.63575,1955.064643,39.88964286,0,1659634524,0,800.63976,5.927923079,188.892308,15925.488,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-59.01967561,-6.178354704,0.61259767,0,800.3590588,6.30352941,0.660448419,0,4.469202439,0.005544669,0.001733027,1,1,3,3-Jan,2.98069,2.72851,0.12901,0.137144,0.0899933,0.0744739,26148.6,25528.3,30546.5,29827.4,38359.1,36361.8,46721,44360.9,1.8885,1.86143,0.115827,0,23.0905,999.9,35.9,32,18.9538,62.9702,24.8638,1,-0.106174,1.1494,20.193,5.23032,11.968,4.97025,3.28958,9999,9999,9999,316.5,4.97292,1.87747,1.8756,1.87843,1.87514,1.87867,1.87576,1.87696,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.239,0.2036,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,72.5,72.6,1.87744,2.54395,1.39893,2.33887,1.44897,2.47437,37.4098,24.1751,18,490.963,445.499,21.6161,25.6107,30.0001,25.4879,25.5761,37.6493,25.6195,0,21.6193,821.412,14.0921,100.975,102.001,7
242,1659634528,6203,8/4/22 12:35,12:35:28,5,albert,e_n_350_68,1659634521,0.003802989,3.802989287,28.14901241,734.2434093,517.8762972,46.88859281,66.47850159,0.234888808,2.755777051,0.224306055,0.141102365,321.5058032,25.34976566,24.99273704,3.178301014,54.94928484,1.684464108,3.065488682,1.493836907,-167.7118275,-89.84985248,-6.875103355,57.06901987,47.00154803,3.797529398,28.14901241,821.6604704,771.5896848,3.347391382,64.61874037,3.802989287,14.13234891,18.61024182,4.56E-07,86.05896211,0,0,1,0,48125,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.973333,1681.174522,0.840598469,0.160755045,6,0.5,0: Broadleaf,2,TRUE,1659634521,734.2434444,793.9811111,18.60461111,14.13311852,730.0243333,18.40100741,500.0850741,90.44006296,0.100077737,24.38797037,24.99273704,999.9,0,0,9996.389259,0,11.65774444,-59.7376037,748.1628148,805.3634815,4.471497407,793.9811111,14.13311852,1.682602593,1.2782,14.73685556,10.54492963,1999.973333,0.980001741,0.019998378,0,801.011963,5.00056,15940.5963,17294.64074,37.14081481,38.69651852,37.47885185,37.82607407,38.76585185,1955.075926,39.89740741,0,1659634529,0,801.0528462,4.269675225,166.8136753,15940.81923,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-59.3836439,-5.488687108,0.550400924,0,800.6883824,4.849885407,0.522431927,0,4.469867073,0.022147735,0.002457951,1,1,3,3-Jan,2.98076,2.72829,0.130922,0.139018,0.0900129,0.0744723,26090.5,25472.7,30545.7,29827.1,38357.6,36361.8,46720.1,44360.6,1.8887,1.86122,0.115551,0,23.0934,999.9,35.9,32.1,19.0611,63.4002,24.7596,1,-0.106344,1.15572,20.1928,5.22957,11.968,4.97,3.28943,9999,9999,9999,316.5,4.97293,1.87745,1.8756,1.8784,1.87513,1.87866,1.87577,1.87695,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.278,0.2037,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,72.5,72.7,1.9104,2.55493,1.39893,2.34009,1.44897,2.4353,37.4098,24.1751,18,491.061,445.363,21.6215,25.6107,30.0002,25.4864,25.5745,38.3131,25.6195,0,21.623,841.481,14.0869,100.972,102.001,7
243,1659634533,6208,8/4/22 12:35,12:35:33,5,albert,e_n_350_68,1659634525,0.003802013,3.80201333,28.37567103,749.7293932,531.3657091,48.10986803,67.88052287,0.234882568,2.756229407,0.224302016,0.141099659,321.5050788,25.35358209,24.992175,3.178194511,54.94535894,1.684717169,3.066168283,1.493477342,-167.6687878,-89.23113148,-6.826747549,57.77841195,47.27525104,3.799787072,28.37567103,838.9445028,788.4464303,3.379325181,64.61874037,3.80201333,14.13441404,18.61123091,-9.02E-07,86.05896211,0,0,1,0,48192,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.966429,1681.168918,0.840598569,0.160755238,6,0.5,0: Broadleaf,2,TRUE,1659634525,749.7294286,809.869,18.60742857,14.13322143,745.4733571,18.40376429,500.0773571,90.44006429,0.099967196,24.39167143,24.992175,999.9,0,0,9999.065714,0,11.65906786,-60.13954643,763.9445357,821.47925,4.474201071,809.869,14.13322143,1.682856786,1.27821,14.7392,10.54504643,1999.966429,0.979997429,0.020002793,0,801.34625,5.00056,15953.08571,17294.56786,37.22517857,38.83235714,37.57782143,37.98632143,38.88371429,1955.0625,39.90392857,0,1659634534,0,801.3973846,4.549538461,152.013675,15953.54615,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-59.90191951,-4.838924739,0.48467457,0,801.1747647,4.236058058,0.46754824,0,4.472586098,0.034940906,0.003577289,1,1,3,3-Jan,2.98043,2.72808,0.132831,0.140902,0.0900177,0.0744744,26033.7,25416.7,30546.3,29826.8,38358,36361.2,46720.6,44359.8,1.88865,1.8615,0.115275,0,23.0958,999.9,35.9,32.1,19.0645,63.4402,25.2764,1,-0.106377,1.1546,20.193,5.22972,11.968,4.96965,3.2895,9999,9999,9999,316.5,4.97293,1.87744,1.8756,1.87837,1.8751,1.87866,1.87576,1.87692,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.317,0.2038,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,72.6,72.8,1.9397,2.55737,1.39893,2.34009,1.44897,2.37793,37.4098,24.1663,18,491.034,445.532,21.6249,25.6107,30.0001,25.4864,25.5745,38.8916,25.6195,0,21.6306,854.84,14.0808,100.974,101.999,7
244,1659634538,6212.5,8/4/22 12:35,12:35:37,5,albert,e_n_350_68,1659634530,0.003805123,3.805123149,28.44723215,764.3994289,545.2774598,49.36927583,69.20852049,0.235049445,2.75582226,0.224452728,0.141195213,321.5061557,25.35552211,24.99447143,3.178629692,54.94403584,1.684945085,3.066656934,1.493684608,-167.8059309,-89.16382774,-6.822776621,57.71362049,47.4351511,3.802021516,28.44723215,854.1675212,803.6240364,3.37072856,64.61874037,3.805123149,14.13302615,18.61340182,1.73E-06,86.05896211,0,0,1,0,48248,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.970714,1681.172721,0.840598669,0.160755432,6,0.5,0: Broadleaf,2,TRUE,1659634530,764.3994643,824.7987857,18.61000714,14.13325714,760.1087143,18.40629643,500.0858929,90.43970714,0.100026236,24.39433214,24.99447143,999.9,0,0,9996.696071,0,11.65980714,-60.399275,778.8947857,836.623,4.476745,824.7987857,14.13325714,1.683083571,1.2782075,14.74128571,10.54502857,1999.970714,0.979994179,0.020006118,0,801.6669286,5.00056,15963.95714,17294.59643,37.3145,38.95289286,37.66046429,38.14032143,38.99982143,1955.06,39.91071429,0,1659634539,0,801.7423846,4.350700856,132.7179488,15965.09231,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-60.19565854,-3.943618118,0.398538077,0,801.4721765,4.392849507,0.49251351,0,4.47496,0.034475122,0.003541148,1,1,3,3-Jan,2.98078,2.72851,0.134519,0.142554,0.0900228,0.0744703,25983,25368.1,30546.3,29827.1,38358.1,36362.1,46720.9,44360.6,1.88848,1.86157,0.116058,0,23.098,999.9,35.9,32,18.9558,63.4002,25.0481,1,-0.106372,1.1491,20.1929,5.23002,11.968,4.9702,3.28955,9999,9999,9999,316.5,4.97292,1.87744,1.87561,1.87839,1.87512,1.87866,1.87577,1.87694,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.351,0.2038,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,72.7,72.9,1.96777,2.5415,1.39893,2.34009,1.44897,2.47681,37.4098,24.1751,18,490.938,445.578,21.6306,25.6107,30,25.4864,25.5745,39.52,25.6195,0,21.6315,875.403,14.0749,100.974,102.001,7
245,1659634543,6218,8/4/22 12:35,12:35:43,5,albert,e_n_350_68,1659634535,0.0038117,3.81169975,28.82989005,782.7700712,560.7254923,50.76737659,70.87101181,0.235353994,2.755174992,0.224728091,0.141369769,321.5036477,25.35867024,25.00028214,3.179731076,54.94081277,1.68532778,3.067533397,1.494403296,-168.095959,-89.29725795,-6.834956356,57.27547445,47.70296534,3.805318269,28.82989005,873.0098846,822.0378606,3.362753647,64.61874037,3.81169975,14.13397989,18.62212909,3.59E-06,86.05896211,0,0,1,0,48226,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.955,1681.159521,0.840598674,0.160755441,6,0.5,0: Broadleaf,2,TRUE,1659634535,782.7701071,843.57875,18.61443929,14.13374643,778.4363929,18.41064286,500.0768214,90.43875714,0.099977554,24.39910357,25.00028214,999.9,0,0,9992.971786,0,11.65660357,-60.80871071,797.6173929,855.67275,4.480687857,843.57875,14.13374643,1.683466429,1.278237857,14.74481071,10.54539643,1999.955,0.979993679,0.020006629,0,801.9969286,5.00056,15975.25,17294.46071,37.37260714,39.09128571,37.781,38.31885714,39.14264286,1955.044286,39.91071429,0,1659634544,0,802.0384,2.278384602,108.5846154,15976.748,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-60.52271951,-3.946333798,0.403964145,0,801.8099412,3.487333841,0.425027677,0,4.478057073,0.039890592,0.004117742,1,1,3,3-Jan,2.98079,2.72825,0.13656,0.14462,0.0900519,0.0744741,25921.8,25307.1,30546.3,29827.2,38357.3,36362.1,46721.2,44360.6,1.88855,1.86167,0.115879,0,23.1007,999.9,35.9,32,18.9553,63.3102,24.7796,1,-0.106067,1.21994,20.1923,5.22957,11.968,4.9701,3.28953,9999,9999,9999,316.5,4.97292,1.87745,1.87561,1.8784,1.87514,1.87866,1.87576,1.87695,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.393,0.204,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,72.8,73,2.00317,2.55249,1.39893,2.34009,1.44897,2.42432,37.4098,24.1663,18,490.979,445.64,21.6331,25.6107,30.0002,25.4864,25.5745,40.1427,25.6195,0,21.5883,888.76,14.0588,100.975,102.001,7
246,1659634548,6222.5,8/4/22 12:35,12:35:47,5,albert,e_n_350_68,1659634540,0.003811769,3.811768551,28.7735336,797.4948571,575.4063434,52.09637348,72.20391364,0.235300394,2.756069496,0.224682494,0.141340603,321.5027927,25.36172568,25.00349643,3.180340467,54.93924918,1.685620126,3.068152826,1.49472034,-168.0989931,-89.30290038,-6.833396501,57.26750272,47.94423261,3.808231882,28.7735336,888.8094969,837.5117394,3.446265789,64.61874037,3.811768551,14.13373661,18.62199273,4.86E-07,86.05896211,0,0,1,0,48287,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.949643,1681.155021,0.840598676,0.160755444,6,0.5,0: Broadleaf,2,TRUE,1659634540,797.4948929,858.6631071,18.61773571,14.13362143,793.1271786,18.41387143,500.0761786,90.43838929,0.100017318,24.402475,25.00349643,999.9,0,0,9998.304643,0,11.66251786,-61.16827857,812.6241786,870.9732143,4.484109286,858.6631071,14.13362143,1.683758214,1.278221786,14.74748929,10.5452,1999.949643,0.979994321,0.02000595,0,802.1123214,5.00056,15983.01429,17294.41429,37.49092857,39.20067857,37.88142857,38.464,39.25196429,1955.038929,39.91071429,0,1659634549,0,802.16084,0.882999983,91.64615368,15984.948,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-60.9964975,-4.961636398,0.499001788,0,802.0242353,1.832238342,0.298833227,0,4.48237475,0.046765666,0.004690187,1,1,3,3-Jan,2.98065,2.72846,0.138257,0.146277,0.0900488,0.0744689,25870.7,25257.7,30546.2,29826.7,38356.9,36361.8,46720.4,44359.9,1.88857,1.86162,0.115931,0,23.1028,999.9,35.9,32.1,19.0609,63.3302,25.2163,1,-0.105869,1.31413,20.1917,5.22927,11.968,4.97015,3.2895,9999,9999,9999,316.5,4.97291,1.87744,1.8756,1.87837,1.87508,1.87866,1.87576,1.87693,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.428,0.2039,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,72.9,73,2.02881,2.54517,1.39893,2.34009,1.44897,2.36694,37.4098,24.1751,18,490.993,445.609,21.6018,25.6107,30.0002,25.4864,25.5745,40.7401,25.8986,0,21.5867,908.796,14.0563,100.973,101.999,7
247,1659634553,6227.5,8/4/22 12:35,12:35:52,5,albert,e_n_350_68,1659634545,0.003824906,3.824905974,29.13076366,815.125149,590.6400987,53.4755088,73.79998779,0.235992057,2.757701776,0.225319179,0.141743174,321.5064356,25.36251061,25.00934444,3.181449443,54.9299187,1.685829881,3.069055845,1.495619562,-168.6783534,-89.49466962,-6.844388331,56.48902419,48.14229301,3.818328844,29.13076366,905.6760135,854.4072545,3.348048215,64.61874037,3.824905974,14.11311292,18.61693758,1.61E-07,86.05896211,0,0,1,0,48280,-,-,0,0,0,0,-,-,0,0,0,0.5,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999.972593,1681.174289,0.840598664,0.160755421,6,0.5,0: Broadleaf,2,TRUE,1659634545,815.1251852,876.6224815,18.62008889,14.12402222,810.717037,18.41617778,500.0679259,90.43825926,0.099970215,24.40738889,25.00934444,999.9,0,0,10007.98037,0,11.66311111,-61.49740741,830.5908148,889.1811852,4.496066667,876.6224815,14.12402222,1.683968519,1.277351111,14.74942593,10.53497037,1999.972593,0.979995444,0.020004759,0,802.2443333,5.00056,15991.22963,17294.62222,37.56688889,39.33540741,37.99277778,38.63633333,39.39559259,1955.062222,39.91037037,0,1659634554,0,802.25408,1.548076918,81.70000005,15992.028,15,1659630175,11:22:55,1659630175,1659630165,1,-0.165,0.047,3.373,0.369,420,26,0.32,0.37,-61.24129512,-4.211061324,0.456227876,0,802.1704412,1.47148968,0.286757039,0,4.489200976,0.109960348,0.013675296,0,0,3,0/3,2.9809,2.7285,0.140079,0.148039,0.0900258,0.0742225,25815.9,25205.3,30546,29826.5,38358.1,36371.4,46720.5,44359.5,1.8886,1.86145,0.116277,0,23.1049,999.9,35.9,32.1,19.0611,63.4902,24.6915,1,-0.105955,1.26632,20.1919,5.22912,11.968,4.97035,3.2895,9999,9999,9999,316.5,4.97292,1.87744,1.87556,1.87839,1.87505,1.87866,1.87576,1.87691,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,4.465,0.2038,1.836144379,0.004412805,-1.96E-06,5.31E-10,-0.043033134,0.008131529,0.000218723,3.68E-06,17,2064,1,25,73,73.1,2.06177,2.54395,1.39893,2.34009,1.44897,2.4707,37.4098,24.1751,18,491.006,445.487,21.5846,25.6107,30.0001,25.4864,25.5726,41.322,25.8986,0,21.5721,922.17,14.0597,100.973,101.998,7
