obs,Comments,time..2,elapsed,date,hhmmss,averaging,id,machine,TIME..9,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME..59,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,time..105,hhmmss..106,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccH2O_hum,AccCO2_soda,CO2_hrs,AccH2O_des,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r,week
82,NA,1664293527,496.9000001,9/27/22 10:45,10:45:27,5,a_y_350_101,ozzie,1664293520,0.000716781,0.716780886,25.7461049,1280.29145,265.0897466,24.14674395,116.6203907,0.04174709,2.767439792,0.04140036,0.025906137,321.5134984,26.10284126,26.10284126,3.394846991,61.11616191,1.863306242,3.048794597,1.531540749,-31.61003705,-269.4537101,-20.63684847,-0.187097286,45.44245007,0.748517687,25.7461049,1378.930966,1331.046727,3.420114932,65.09214721,0.716780886,19.63466892,20.47247972,0.00048591,127.013379,5,1,1,0,48366,2000.019259,1681.213289,0.84059855,0.160755201,6,0.5,0: Broadleaf,2,TRUE,1664293520,1280.291481,1335.960741,20.4559,19.57623704,1269.297778,20.14417037,500.1047778,90.98891481,0.100024919,24.29682963,25.09271481,999.9,0,0,10004.81481,0,11.2535,-55.67035926,1307.028889,1362.637407,0.879662778,1335.960741,19.57623704,1.86126,1.78122037,16.3109963,15.62288148,2000.019259,0.979998889,0.020001181,0,784.5047407,5.00063,15520.76667,17257.05556,40.54840741,39.92811111,39.80525926,39.90022222,41.18037037,1955.114815,39.9037037,0,1664293514,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.76400244,1.600626481,0.524500388,0,0.937526976,-1.060970446,0.107674221,0,0,2,0/2,2.97555,2.75374,0.198151,0.204062,0.0932535,0.0915652,31325.4,33914.9,35393.5,38633.6,45485.1,50674.4,55295.1,61946,1.9912,1.8548,0.150204,0,22.625,999.9,52.668,29.769,24.3366,60.2193,49.2628,1,-0.12872,2.85458,20.0904,5.19932,12.0052,4.9752,3.293,9999,9999,712.1,9999,1.86313,1.86798,1.86771,1.8689,1.86981,1.86581,1.86688,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.12,0.3126,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7182.6,7182.6,2.66357,2.58423,1.54785,2.29858,1.34644,2.33887,33.4456,24.0963,18,494.394,407.738,18.9217,25.5074,29.9999,25.5315,25.4838,53.3273,24.292,64.9593,18.9232,1376.2,19.8008,102.596,103.123,7
83,NA,1664293532,501.9000001,9/27/22 10:45,10:45:32,5,a_y_350_101,ozzie,1664293524,0.000678987,0.678987313,25.23181135,1296.152111,247.8933739,22.58039476,118.0653838,0.039579686,2.768111235,0.039267954,0.024570275,321.5133278,26.09900194,26.09900194,3.394076402,61.20621535,1.864505601,3.046268407,1.529570801,-29.94334051,-271.0099838,-20.74916314,-0.189159612,45.46073985,0.696619481,25.23181135,1395.885931,1348.320606,3.483976628,65.09214721,0.678987313,19.70658711,20.50147413,0.000326418,127.013379,5,1,1,0,47808,2000.019286,1681.213221,0.840598505,0.160755114,6,0.5,0: Broadleaf,2,TRUE,1664293524,1296.152143,1351.778571,20.46902143,19.65033571,1285.081071,20.15675714,500.0896071,90.98918571,0.099956361,24.283,25.08198571,999.9,0,0,10008.75,0,11.2535,-55.62680714,1323.238929,1378.875357,0.818686786,1351.778571,19.65033571,1.862459643,1.7879675,16.32110357,15.68193214,2000.019286,0.980001643,0.019998518,0,783.8030714,5.00063,15504.58571,17257.06071,40.49521429,39.87025,39.77657143,39.78767857,41.118,1955.119286,39.90071429,0,1664293519,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.67538537,2.00911777,0.495641204,0,0.871991732,-0.807596467,0.081492876,0,0,2,0/2,2.97547,2.75401,0.199696,0.205661,0.0933505,0.0918581,31264.8,33847.2,35393.1,38633.9,45480.1,50658.6,55295.1,61946.7,1.9914,1.8548,0.1508,0,22.6212,999.9,52.643,29.769,24.3248,60.2893,49.2067,1,-0.129431,2.88834,20.0904,5.20172,12.004,4.976,3.293,9999,9999,712.1,9999,1.86322,1.86798,1.86777,1.86896,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.2,0.3138,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7182.7,7182.7,2.69165,2.57935,1.54785,2.29858,1.34644,2.34253,33.4456,24.0963,18,494.504,407.722,18.8544,25.5052,29.9997,25.5293,25.4816,53.868,24.292,64.9593,18.8394,1389.71,19.843,102.596,103.124,7
84,NA,1664293537,506.9000001,9/27/22 10:45,10:45:37,5,a_y_350_101,ozzie,1664293530,0.000699473,0.699472868,25.42193789,1313.933672,291.4363743,26.54689178,119.6860038,0.040944918,2.76547997,0.040611094,0.0254117,321.5180711,26.07990667,26.07990667,3.390246065,61.33099533,1.866614286,3.043508875,1.523631779,-30.84675348,-270.1594669,-20.70016191,-0.188311267,45.20341976,0.661389615,25.42193789,1412.576414,1365.284485,3.378080272,65.09214721,0.699472868,19.76801052,20.5307965,0.006331257,127.013379,4,1,1,0,48464,2000.049259,1681.238377,0.840598485,0.160755076,6,0.5,0: Broadleaf,2,TRUE,1664293530,1313.933704,1369.208519,20.49201481,19.71478148,1302.775185,20.17882222,500.1095926,90.98981481,0.100022007,24.26788148,25.08052963,999.9,0,0,9993.148148,0,11.2535,-55.27521111,1341.423333,1396.747407,0.777238148,1369.208519,19.71478148,1.864564444,1.793843333,16.33882963,15.7332,2000.049259,0.980001889,0.019998341,0,783.021,5.00063,15487.87407,17257.32963,40.43959259,39.81692593,39.73359259,39.66633333,41.06,1955.149259,39.9,0,1664293524,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.47351951,2.267910105,0.548412409,0,0.81179022,-0.553280864,0.056086757,0,0,2,0/2,2.97388,2.75356,0.201235,0.207049,0.093429,0.0919859,31205.4,33788.4,35393.9,38634.3,45476.2,50651.8,55295.1,61947.1,1.992,1.8552,0.150353,0,22.6155,999.9,52.619,29.769,24.3137,60.1493,49.5513,1,-0.129268,3.01747,20.088,5.20172,12.0076,4.9756,3.293,9999,9999,712.1,9999,1.86316,1.86798,1.86771,1.8689,1.86981,1.86581,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.28,0.3148,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7182.8,7182.8,2.71484,2.58911,1.54785,2.29858,1.34644,2.27295,33.4456,24.0875,18,494.874,407.929,18.783,25.5052,29.9999,25.5272,25.4795,54.3459,24.0149,64.9593,18.746,1410.13,19.8781,102.597,103.125,7
85,NA,1664293542,511.9000001,9/27/22 10:45,10:45:42,5,a_y_350_101,ozzie,1664293534,0.000637913,0.637913172,25.03270571,1329.661041,229.2087506,20.87862141,121.1188028,0.037357329,2.768219106,0.0370795,0.023199477,321.5137544,26.08171809,26.08171809,3.390609257,61.45040061,1.868744203,3.041061059,1.521865054,-28.13197087,-272.7003082,-20.87295514,-0.191479806,45.16555231,0.634705168,25.03270571,1429.860545,1382.510061,3.489245575,65.09214721,0.637913172,19.81792008,20.55286364,0.001568035,127.013379,5,1,1,0,48656,2000.024286,1681.217228,0.840598407,0.160754925,6,0.5,0: Broadleaf,2,TRUE,1664293534,1329.661071,1384.860357,20.51536429,19.76950714,1318.426071,20.20122857,500.1096786,90.99010714,0.099876796,24.25446071,25.08451071,999.9,0,0,10009.28571,0,11.2535,-55.19908929,1357.5125,1412.7925,0.745863071,1384.860357,19.76950714,1.866695714,1.798828929,16.35676071,15.77658214,2000.024286,0.9800045,0.019995807,0,782.4481429,5.00063,15473.41071,17257.12143,40.39032143,39.76757143,39.70064286,39.56885714,41.00639286,1955.13,39.89428571,0,1664293529,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.32813415,2.685089895,0.517862473,0,0.772732463,-0.416782118,0.043423975,0,0,2,0/2,2.97532,2.75454,0.202766,0.20862,0.0934967,0.0920722,31145.7,33721.4,35393.9,38634,45473.2,50646.7,55295.7,61946.7,1.9914,1.8554,0.14931,0,22.6097,999.9,52.619,29.769,24.3144,60.0393,49.4671,1,-0.129228,3.00527,20.0887,5.20172,12.004,4.9756,3.293,9999,9999,712.1,9999,1.8631,1.86798,1.86768,1.8689,1.86978,1.86584,1.86688,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.36,0.3156,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7182.9,7182.8,2.7417,2.56714,1.54785,2.29858,1.34644,2.44385,33.4456,24.0963,18,494.465,408.024,18.6902,25.5031,30,25.5251,25.4774,54.9005,24.0149,64.9593,18.6672,1423.62,19.911,102.597,103.125,7
86,NA,1664293547,516.9000001,9/27/22 10:45,10:45:47,5,a_y_350_101,ozzie,1664293540,0.000629367,0.62936721,25.41754752,1347.324043,219.0193143,19.9506529,122.7288763,0.036976041,2.76571834,0.036703587,0.022964053,321.5131926,26.06827251,26.06827251,3.387914209,61.58997085,1.871041239,3.037899213,1.516872969,-27.75509394,-273.0360652,-20.9143116,-0.192278171,45.11693982,0.621246322,25.41754752,1447.093214,1399.496848,3.442553778,65.09214721,0.62936721,19.82968551,20.56033147,0.00094631,127.013379,4,1,1,0,48657,2000.021111,1681.214533,0.840598393,0.160754899,6,0.5,0: Broadleaf,2,TRUE,1664293540,1347.324074,1402.452222,20.54038889,19.81042593,1336.004074,20.22523704,500.1505926,90.99081852,0.100019611,24.23711111,25.07011111,999.9,0,0,9994.444444,0,11.2535,-55.12806296,1375.580741,1430.798519,0.729965667,1402.452222,19.81042593,1.868986667,1.802567407,16.37602222,15.80905556,2000.021111,0.980004667,0.019995667,0,781.7767037,5.00063,15457.67778,17257.1,40.34462963,39.70585185,39.65714815,39.4627037,40.94659259,1955.127778,39.89333333,0,1664293534,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.21900732,0.370708014,0.385455152,0,0.740868122,-0.211374397,0.024875793,0,0,2,0/2,2.97349,2.75423,0.20428,0.210051,0.0935342,0.0922296,31086.4,33660.7,35393.7,38634.4,45471,50637.8,55295.2,61946.6,1.9912,1.8562,0.14782,0,22.6021,999.9,52.594,29.769,24.3024,60.3793,49.8718,1,-0.129228,2.95847,20.0896,5.20291,12.004,4.976,3.293,9999,9999,712.1,9999,1.8631,1.86798,1.86768,1.8689,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.44,0.3162,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7183,7182.9,2.76733,2.57812,1.54785,2.29858,1.34644,2.30469,33.4456,24.0963,18,494.335,408.47,18.6196,25.5031,30,25.5251,25.4774,55.3834,23.7424,64.9593,18.6066,1443.81,19.944,102.597,103.125,7
87,NA,1664293552,521.9000001,9/27/22 10:45,10:45:52,5,a_y_350_101,ozzie,1664293544,0.000581115,0.581114728,25.60429472,1363.040683,136.872378,12.46786981,124.1610179,0.034178672,2.767725407,0.033945911,0.021236975,321.5102003,26.06341129,26.06341129,3.386940282,61.70316136,1.872582717,3.034824595,1.514357565,-25.6271595,-275.0284843,-21.04935144,-0.194794933,45.30408794,0.598108365,25.60429472,1464.66719,1416.725697,3.465567222,65.09214721,0.581114728,19.9074594,20.58522448,0.000542207,127.013379,5,1,1,0,48382,2000.003571,1681.1997,0.840598349,0.160754813,6,0.5,0: Broadleaf,2,TRUE,1664293544,1363.040714,1418.371786,20.55722857,19.85440714,1351.645714,20.24140357,500.1096071,90.9912,0.100004743,24.220225,25.050625,999.9,0,0,10006.25,0,11.2535,-55.33106429,1391.650714,1447.104643,0.70282175,1418.371786,19.85440714,1.870527143,1.8065775,16.38896071,15.84378214,2000.003571,0.980006214,0.019994171,0,781.1970357,5.00063,15444.62143,17256.96786,40.30110714,39.66282143,39.62703571,39.37039286,40.89707143,1955.113571,39.89,0,1664293539,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.26754634,-1.311094077,0.404845362,0,0.718262585,-0.255244077,0.029219013,0,0,2,0/2,2.97498,2.75434,0.205801,0.211567,0.0936057,0.0923873,31027,33596.1,35393.6,38634.2,45467.3,50629.5,55295.2,61947.1,1.9914,1.8558,0.146925,0,22.5945,999.9,52.594,29.769,24.3026,60.1793,49.8037,1,-0.129492,2.77915,20.0927,5.20291,12.004,4.976,3.2932,9999,9999,712.1,9999,1.86319,1.86798,1.86771,1.86893,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.52,0.317,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7183.1,7183,2.79297,2.5708,1.54785,2.29858,1.34644,2.42188,33.4456,24.0963,18,494.446,408.231,18.5671,25.501,29.9998,25.523,25.4752,55.9275,23.7424,64.9593,18.58,1457.2,19.9638,102.597,103.125,7
88,NA,1664293557,526.9000001,9/27/22 10:45,10:45:57,5,a_y_350_101,ozzie,1664293550,0.000599117,0.599116618,25.59637568,1380.787376,195.0876501,17.7709472,125.7788462,0.035391236,2.76461012,0.035141453,0.021985703,321.5126449,26.04138039,26.04138039,3.382529534,61.83158599,1.874337393,3.031359075,1.508192141,-26.42104284,-274.2747657,-21.01097585,-0.194139436,45.32041955,0.582231589,25.59637568,1481.497426,1433.81503,3.412946336,65.09214721,0.599116618,19.92703036,20.60645315,0.002626492,127.013379,4,1,1,0,48758,2000.018889,1681.212566,0.840598344,0.160754804,6,0.5,0: Broadleaf,2,TRUE,1664293550,1380.787407,1436.124815,20.57628519,19.89212963,1369.308519,20.25968519,500.1068148,90.99198889,0.10012887,24.20117407,25.03608519,999.9,0,0,9987.777778,0,11.2535,-55.33725185,1409.796296,1465.271852,0.684155815,1436.124815,19.89212963,1.872277037,1.810025926,16.40363333,15.87360741,2000.018889,0.980006111,0.019994281,0,780.5505556,5.00063,15431.0037,17257.1037,40.25203704,39.61792593,39.59233333,39.27759259,40.84462963,1955.128889,39.89,0,1664293544,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.28969024,-0.475137282,0.301358704,0,0.695461,-0.251016251,0.029058291,0,0,2,0/2,2.97331,2.75436,0.207284,0.212985,0.0936887,0.0923931,30969.7,33536.6,35394.3,38635.2,45464.5,50629.4,55296.8,61947.3,1.9914,1.8562,0.14931,0,22.5869,999.9,52.57,29.769,24.2909,60.2493,49.8197,1,-0.130183,2.75113,20.0931,5.20172,12.004,4.9756,3.293,9999,9999,712.1,9999,1.86316,1.86798,1.86768,1.86893,1.86978,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.6,0.3181,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7183.1,7183.1,2.8186,2.58423,1.54785,2.29858,1.34644,2.27417,33.4232,24.0875,18,494.445,408.438,18.545,25.4988,29.9997,25.523,25.4731,56.4064,23.7424,64.9593,18.5478,1477.3,19.9749,102.599,103.126,7
89,NA,1664293562,531.4000001,9/27/22 10:46,10:46:01,5,a_y_350_101,ozzie,1664293554,0.000644137,0.644136848,25.51713099,1395.703302,299.4925858,27.28114889,127.1363346,0.038291211,2.767953802,0.037999348,0.02377563,321.5118388,26.00710107,26.00710107,3.37567654,61.96277631,1.876077247,3.02774885,1.499599293,-28.40643498,-272.4557483,-20.84073423,-0.191078643,45.37914993,0.57436324,25.51713099,1497.065051,1449.330121,3.442624063,65.09214721,0.644136848,19.92942409,20.62882238,0.006155011,127.013379,5,1,1,0,49202,2000.013704,1681.208222,0.840598351,0.160754818,6,0.5,0: Broadleaf,2,TRUE,1664293554,1395.703333,1451.114815,20.59558519,19.92061111,1384.153704,20.2781963,500.0493333,90.99125556,0.09997737,24.18130741,25.02600741,999.9,0,0,10007.59259,0,11.2535,-55.4107,1425.053704,1480.608519,0.674974519,1451.114815,19.92061111,1.874018519,1.812601852,16.41823704,15.89588148,2000.013704,0.980005556,0.019994756,0,780.0887778,5.00063,15420.65926,17257.05556,40.20581481,39.59466667,39.56907407,39.20351852,40.803,1955.123333,39.89037037,0,1664293549,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.36920488,-0.265233449,0.276465717,0,0.68866839,-0.139380774,0.024922711,0,0,2,0/2,2.9737,2.75326,0.208636,0.214325,0.0937481,0.0924122,30916.9,33479.7,35394.2,38635.4,45461.3,50629.2,55296.7,61948.4,1.9906,1.8562,0.147521,0,22.5793,999.9,52.57,29.759,24.2768,60.1793,49.6194,1,-0.130813,2.73889,20.0928,5.20172,12.0052,4.976,3.2932,9999,9999,712.1,9999,1.8631,1.86798,1.86771,1.86893,1.86978,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.67,0.3188,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7183.2,7183.2,2.84424,2.57935,1.54785,2.29858,1.34644,2.33887,33.4456,24.0963,18,493.906,408.438,18.5245,25.4988,29.9995,25.5208,25.4731,56.9096,23.7424,64.9593,18.5215,1490.75,19.977,102.599,103.128,7
90,NA,1664293567,536.9000001,9/27/22 10:46,10:46:07,5,a_y_350_101,ozzie,1664293559,0.000617734,0.617733678,25.51699707,1413.456397,274.7659819,25.02877861,128.7535196,0.036818703,2.766606069,0.036548641,0.022866999,321.5128066,25.99571537,25.99571537,3.37340304,62.10508627,1.878187525,3.024208865,1.495215515,-27.2420552,-273.5334031,-20.93010751,-0.192759139,45.3483152,0.591400921,25.51699707,1515.77766,1468.113939,3.426702122,65.09214721,0.617733678,19.92950547,20.64496434,0.001123786,127.013379,5,1,1,0,48670,2000.019643,1681.213221,0.840598355,0.160754824,6,0.5,0: Broadleaf,2,TRUE,1664293559,1413.456429,1468.876786,20.61874643,19.92370714,1401.823571,20.30041071,500.0065357,90.99118929,0.100067471,24.16180714,25.0108,999.9,0,0,9999.642857,0,11.2535,-55.41928214,1443.214286,1498.735714,0.695035036,1468.876786,19.92370714,1.876124643,1.812882143,16.43588571,15.89830714,2000.019643,0.980005143,0.019995086,0,779.6318571,5.00063,15408.98214,17257.08929,40.1605,39.56217857,39.53542857,39.12475,40.75867857,1955.128929,39.89071429,0,1664293555,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.43132439,-0.513472474,0.275899029,0,0.687668,0.217031373,0.026580951,0,0,2,0/2,2.97484,2.75428,0.210268,0.21591,0.0938006,0.0922491,30853.7,33411.6,35394.8,38634.6,45458.6,50638,55296.6,61947.9,1.9914,1.8564,0.145435,0,22.5717,999.9,52.57,29.759,24.2757,60.3293,49.6675,1,-0.132317,-0.566536,20.1104,5.20172,12.004,4.9756,3.293,9999,9999,712.1,9999,1.8631,1.86798,1.86768,1.8689,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.75,0.3195,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7183.3,7183.3,2.86987,2.5769,1.54785,2.29858,1.34644,2.33276,33.4232,24.105,18,494.406,408.533,18.6206,25.4967,29.9984,25.5186,25.471,57.4178,23.7424,64.5782,19.1256,1510.97,19.8413,102.599,103.126,7
91,NA,1664293572,541.9000001,9/27/22 10:46,10:46:12,5,a_y_350_101,ozzie,1664293565,0.000857645,0.857644604,25.61222207,1431.129969,608.2758369,55.40874866,130.3637526,0.051961727,2.768522205,0.051425948,0.032188894,321.5123332,25.91260067,25.91260067,3.356847127,62.270261,1.881369098,3.02129631,1.475478029,-37.82212705,-263.7143449,-20.15473563,-0.17887443,45.45733095,0.637413381,25.61222207,1533.225024,1485.259273,3.465421092,65.09214721,0.857644604,19.87111375,20.75374126,0.013384707,127.013379,4,1,1,0,48812,2000.016667,1681.210722,0.840598356,0.160754827,6,0.5,0: Broadleaf,2,TRUE,1664293565,1431.13,1486.772222,20.65362222,19.90454074,1419.414815,20.33387037,500.0111481,90.99147037,0.100013611,24.14574815,24.99014074,999.9,0,0,10010.92593,0,11.2535,-55.64119259,1461.313333,1516.966296,0.749073852,1486.772222,19.90454074,1.879304444,1.811144074,16.46248519,15.8832963,2000.016667,0.980004815,0.019995348,0,779.2054815,5.00063,15397.88519,17257.06296,40.11085185,39.52751852,39.50211111,39.04611111,40.71044444,1955.125926,39.89074074,0,1664293559,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.4929561,-2.104511498,0.321202851,0,0.71460678,0.495413791,0.053474788,0,0,2,0/2,2.9741,2.7538,0.21171,0.217379,0.0941714,0.0922011,30797.4,33349.5,35394.7,38635.1,45440.2,50640.9,55297.2,61948.2,1.9916,1.8558,0.145733,0,22.5641,999.9,52.545,29.759,24.2643,60.0993,49.4952,1,-0.135793,1.16913,20.1117,5.20291,12.004,4.9756,3.2932,9999,9999,712.1,9999,1.86313,1.86798,1.86774,1.86893,1.86981,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.83,0.3242,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7183.4,7183.3,2.89551,2.58789,1.54785,2.2998,1.34644,2.30469,33.4232,24.105,18,494.536,408.184,19.1572,25.4967,29.998,25.5186,25.4688,57.9643,24.0496,64.5782,19.1424,1524.38,19.7139,102.6,103.127,7
92,NA,1664293577,546.9000001,9/27/22 10:46,10:46:17,5,a_y_350_101,ozzie,1664293569,0.001046749,1.046749178,25.42695883,1446.882826,777.7901115,70.84998692,131.7985762,0.064289666,2.767909176,0.063471482,0.039742319,321.514553,25.85811932,25.85811932,3.346033341,62.46544737,1.886936468,3.020768356,1.459096874,-46.16163873,-255.9606563,-19.56082035,-0.168562452,45.32310028,0.710738731,25.42695883,1550.032271,1502.44897,3.433685501,65.09214721,1.046749178,19.86390295,20.84155105,0.026967735,127.013379,4,1,1,0,48945,2000.030714,1681.22251,0.840598346,0.160754808,6,0.5,0: Broadleaf,2,TRUE,1664293569,1446.882857,1502.5,20.71476071,19.87961071,1435.095357,20.39252143,500.0413929,90.991325,0.100070829,24.14283571,24.97307143,999.9,0,0,10007.32143,0,11.2535,-55.61620357,1477.491071,1532.975,0.835153607,1502.5,19.87961071,1.884865,1.808872857,16.50884286,15.86365714,2000.030714,0.980005,0.0199952,0,778.8430357,5.00063,15388.13214,17257.19643,40.07117857,39.49307143,39.46407143,38.98628571,40.67167857,1955.140357,39.89035714,0,1664293564,0,0,--:--:--,1663862569,1663862572,0,-0.14,0,6.236,0.217,400,18,0.5,0.12,-55.56920976,-0.549827875,0.407520802,0,0.79636839,1.054286801,0.108679449,0,0,2,0/2,2.9749,2.75394,0.213148,0.218737,0.0944332,0.0919664,30741.5,33292.1,35395,38635.6,45427.4,50654.8,55297.8,61949.1,1.992,1.855,0.145435,0,22.5565,999.9,52.521,29.759,24.2525,59.6893,49.6835,1,-0.134756,1.60216,20.1086,5.20411,12.004,4.976,3.2934,9999,9999,712.1,9999,1.86313,1.86798,1.86777,1.86896,1.86978,1.86584,1.86691,1.86829,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,11.91,0.3277,3.878211192,0.005733555,3.16E-07,-3.28E-10,-0.012815334,-0.01991523,0.002282196,-2.45E-05,-4,1833,1,21,7183.5,7183.4,2.9187,2.5708,1.54785,2.2998,1.34644,2.41821,33.4232,24.1138,18,494.777,407.739,19.2276,25.4967,29.9999,25.5165,25.4688,58.4195,25.6563,64.5782,19.1698,1537.85,19.3553,102.601,103.129,7
