id,type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peaktype,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.name
QC,quality_control,1.453,1.944,288.352,A,0.176,12.092,Ordnr,Nitrogen,3.092,4517.9,A,1.018,70.046,Ordnr,Carbon
a_y_70_81_tl,unknown,3.499,1.972,258.639,A,0.157,4.498,Ordnr,Nitrogen,3.069,6553.678,A,1.517,43.348,Ordnr,Carbon
a_y_0_76_tl,unknown,2.612,1.965,129.28,A,0.078,2.977,Ordnr,Nitrogen,3.099,4854.03,A,1.098,42.045,Ordnr,Carbon
a_y_630_107_tl,unknown,3.722,1.963,271.443,A,0.165,4.441,Ordnr,Nitrogen,3.057,7014.403,A,1.634,43.896,Ordnr,Carbon
a_y_630_108_tl,unknown,2.852,1.955,270.46,A,0.165,5.774,Ordnr,Nitrogen,3.087,5553.209,A,1.268,44.459,Ordnr,Carbon
a_n_70_117_tl,unknown,1.459,1.955,107.546,A,0.064,4.414,Ordnr,Nitrogen,3.173,2693.78,A,0.593,40.65,Ordnr,Carbon
a_n_280_134_tl,unknown,2.383,1.972,263.537,A,0.16,6.731,Ordnr,Nitrogen,3.123,4654.545,A,1.05,44.078,Ordnr,Carbon
a_n_140_125_tl,unknown,2.733,1.975,251.314,A,0.153,5.594,Ordnr,Nitrogen,3.119,5268.413,A,1.198,43.85,Ordnr,Carbon
a_y_350_101_tl,unknown,1.755,1.997,239.795,A,0.146,8.307,Ordnr,Nitrogen,3.171,3534.203,A,0.786,44.804,Ordnr,Carbon
a_n_105_122_tl,unknown,3.787,1.995,193.314,A,0.117,3.094,Ordnr,Nitrogen,3.096,6687.638,A,1.551,40.946,Ordnr,Carbon
a_y_140_92_tl,unknown,2.954,2.009,325.564,A,0.199,6.724,Ordnr,Nitrogen,3.112,5725.151,A,1.31,44.354,Ordnr,Carbon
a_n_0_109_tl,unknown,2.532,1.967,141.638,A,0.085,3.371,Ordnr,Nitrogen,3.128,4844.528,A,1.096,43.284,Ordnr,Carbon
QC,quality_control,1.81,1.949,297.13,A,0.181,10.006,Ordnr,Nitrogen,3.085,5552.619,A,1.268,70.046,Ordnr,Carbon
a_y_70_83_tl,unknown,2.982,1.967,161.489,A,0.098,3.272,Ordnr,Nitrogen,3.105,5662.384,A,1.295,43.42,Ordnr,Carbon
a_n_350_138_tl,unknown,2.077,1.955,130.277,A,0.078,3.773,Ordnr,Nitrogen,3.144,4097.411,A,0.918,44.204,Ordnr,Carbon
a_n_280_135_tl,unknown,1.982,1.957,98.976,A,0.059,2.983,Ordnr,Nitrogen,3.151,3815.126,A,0.852,42.978,Ordnr,Carbon
a_y_280_98_tl,unknown,2.351,1.965,128.867,A,0.078,3.297,Ordnr,Nitrogen,3.14,4553.286,A,1.026,43.65,Ordnr,Carbon
a_y_105_85_tl,unknown,2.946,1.973,147.487,A,0.089,3.02,Ordnr,Nitrogen,3.121,5654.253,A,1.293,43.882,Ordnr,Carbon
a_y_280_100_tl,unknown,2.975,1.981,140.573,A,0.085,2.847,Ordnr,Nitrogen,3.132,5753.408,A,1.317,44.275,Ordnr,Carbon
a_y_0_74_tl,unknown,2.285,1.981,124.658,A,0.075,3.279,Ordnr,Nitrogen,3.175,4443.424,A,1,43.765,Ordnr,Carbon
a_y_140_91_tl,unknown,2.162,1.977,125.88,A,0.076,3.5,Ordnr,Nitrogen,3.176,4276.324,A,0.96,44.421,Ordnr,Carbon
a_y_630_105_tl,unknown,2.758,1.975,197.522,A,0.12,4.342,Ordnr,Nitrogen,3.137,5398.038,A,1.23,44.598,Ordnr,Carbon
a_y_35_80_tl,unknown,2.746,1.983,164.48,A,0.099,3.62,Ordnr,Nitrogen,3.147,5340.954,A,1.216,44.286,Ordnr,Carbon
a_n_280_133_tl,unknown,1.673,1.961,89.571,A,0.053,3.189,Ordnr,Nitrogen,3.179,3253.908,A,0.721,43.121,Ordnr,Carbon
QC,quality_control,0.843,1.945,138.852,A,0.084,9.923,Ordnr,Nitrogen,3.183,2687.601,A,0.592,70.187,Ordnr,Carbon
a_n_0_112_tl,unknown,1.799,1.959,111.659,A,0.067,3.72,Ordnr,Nitrogen,3.172,3503.879,A,0.779,43.317,Ordnr,Carbon
a_n_210_129_tl,unknown,2.329,1.963,140.412,A,0.085,3.633,Ordnr,Nitrogen,3.153,4556.247,A,1.027,44.092,Ordnr,Carbon
a_n_0_110_tl,unknown,2.017,1.967,44.273,A,0.026,1.265,Ordnr,Nitrogen,3.185,3418.851,A,0.76,37.658,Ordnr,Carbon
a_n_350_137_tl,unknown,4.172,1.991,239.16,A,0.145,3.485,Ordnr,Nitrogen,3.124,8056.893,A,1.905,45.659,Ordnr,Carbon
a_y_210_93_tl,unknown,2.079,1.972,115.589,A,0.069,3.335,Ordnr,Nitrogen,3.189,4078.743,A,0.914,43.949,Ordnr,Carbon
a_n_35_116_tl,unknown,1.005,1.961,49.989,A,0.029,2.887,Ordnr,Nitrogen,3.241,1883.172,A,0.41,40.834,Ordnr,Carbon
a_y_0_75_tl,unknown,2.453,1.988,130.462,A,0.078,3.2,Ordnr,Nitrogen,3.191,4737.094,A,1.07,43.626,Ordnr,Carbon
a_y_105_87_tl,unknown,2.967,1.992,169.525,A,0.103,3.455,Ordnr,Nitrogen,3.169,5795.456,A,1.328,44.744,Ordnr,Carbon
a_n_105_121_tl,unknown,1.66,1.971,82.71,A,0.049,2.959,Ordnr,Nitrogen,3.211,3146.102,A,0.697,41.963,Ordnr,Carbon
a_n_140_128_tl,unknown,1.378,1.971,84.094,A,0.05,3.627,Ordnr,Nitrogen,3.22,2704.304,A,0.595,43.213,Ordnr,Carbon
a_y_280_99_tl,unknown,2.098,1.976,118.169,A,0.071,3.381,Ordnr,Nitrogen,3.185,4128.657,A,0.925,44.112,Ordnr,Carbon
QC,quality_control,1.114,1.964,182.531,A,0.111,9.921,Ordnr,Nitrogen,3.195,3538.016,A,0.787,70.664,Ordnr,Carbon
std - 0.25,standard,0.337,1.945,54.604,A,0.032,9.452,Ordnr,Nitrogen,3.236,1113.847,A,0.24,71.262,Ordnr,Carbon
std - 0.50,standard,0.488,1.949,79.405,A,0.047,9.651,Ordnr,Nitrogen,3.233,1576.673,A,0.342,70.124,Ordnr,Carbon
